ID,Name,Latitude,Longitude,Elevation Gain,Description,Difficulty,Route Type,Traffic,Nearest City,Distance
1,Mosquito Pass,39.2814,-106.1861,2874,"Mosquito Pass is a 16.2 mile moderately trafficked point-to-point trail located near Leadville, Colorado that features beautiful wildflowers and is rated as moderate. The trail is primarily used for hiking, offroad driving, and snowshoeing and is best used from May until September.",Moderate,Point to Point,Moderate,"Leadville, Alma",16.2
2,Black Bear Pass ,37.8995,-107.743,1843,"Black Bear Pass is a 8.5 mile moderately trafficked point-to-point trail located near Telluride, Colorado that features a waterfall and is rated as difficult. Also known as 'Colorado's Deadliest Trail', the trail has a shelf road with some technical spots and very narrow switchbacks.",Hard,Point to Point,Moderate,Telluride,8.5
3,Schofield Pass,39.015,-107.0467,616,"Schofield Pass OHV Trail is a 2.5 moderately trafficked out and back trail connecting the towns of Marble and Crested Butte, that features beautiful wildflowers and is rated as difficult. The trail features a shelf road with some technical off-camber sections with a drop of 300ft. There are beautiful waterfalls that lead to a small pool known as the ""Devil's Punchbowl"". If going up to Crested Butte, a locker is recommended. The trail is best used from April to October.",Hard,Out and Back,Moderate,"Crested Butte, Marble",2.5
4,Webster Pass,39.531,-105.8327,3759,"Webster and Red Cone Pass Trail is a 17.5 mile lightly trafficked out and back trail located near Dillon, Colorado that offers scenic views and is rated as moderate. The trail offers a number of activity options and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",Moderate,Out and Back,Light,Webster,17.5
5,Weston Pass,39.1314,-106.1822,3218,"Weston Pass Road is a 34.9 mile moderately trafficked point-to-point trail located near Leadville, Colorado that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for scenic driving and is best used from June until September. Dogs are also able to use this trail but must be kept on leash.",Easy,Point to Point,Moderate,Fairplay,34.9
6,Boreas Pass,39.4111,-105.9695,2208,"Boreas Pass Road is a 20.2 mile heavily trafficked point-to-point trail located near Como, Colorado that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail.",Easy,Point to Point,Heavy,Breckenridge,20.2
7,Red Cone 4x4 Trail,39.5267,-105.8225,3090,"Red Cone OHV Loop is a 10.9 mile heavily trafficked loop trail located near Jefferson, Colorado that features beautiful wild flowers and is rated as difficult. The trail is primarily used for ohv/off road driving.",Hard,Loop,Heavy,Webster,10.9
8,Chinn's Lake,39.8168,-105.6951,728,"Chinns Lake Trail is a 2.7 mile moderately trafficked out and back trail located near Idaho Springs, Colorado that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from June until September. Dogs are also able to use this trail but must be kept on leash.",Moderate,Out and Back,Moderate,Saint Mary's,2.7
9,Loch Lomond,39.836,-105.6775,895,"Loch Lomond is a 4.6 mile heavily trafficked out and back trail located near Empire, Colorado that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from June until September. Dogs are also able to use this trail but must be kept on leash.",Moderate,Out and Back,Heavy,Saint Mary's,4.6
10,Fall River Trail,39.8213,-105.6929,752,"Fall River Reservoir is a 2.5 mile moderately trafficked loop trail located near Idaho Springs, Colorado that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",Moderate,Out and Back,Moderate,Saint Mary's,2.5
11,Switzerland Trail,40.0033,-105.4249,524,"Switzerland Trail, Gold Hill Site is a 8.7 mile moderately trafficked out and back trail located near Boulder, Colorado. The trail is rated as moderate and is primarily used for hiking and mountain biking. Dogs are also able to use this trail but must be kept on leash.",Easy,Out and Back,Moderate,Boulder,8.7